Variable Name,Type,Description
PERMNO,double,PERMNO (PERMNO)
GVKEY,string,Global Company Key (GVKEY)
CUSIP,string,CUSIP IDENTIFIER - HISTORICAL (CUSIP)
TICKER,string,EXCHANGE TICKER SYMBOL - HISTORICAL (TICKER)
CAPEI,double,Shillers Cyclically Adjusted P/E Ratio (CAPEI)
PEG_1yrforward,double,Forward P/E to 1-year Growth (PEG) ratio (PEG_1yrforward)
bm,double,Book/Market (bm)
PEG_ltgforward,double,Forward P/E to Long-term Growth (PEG) ratio (PEG_ltgforward)
evm,double,Enterprise Value Multiple (evm)
pe_op_basic,double,"Price/Operating Earnings (Basic, Excl. EI) (pe_op_basic)"
pe_op_dil,double,"Price/Operating Earnings (Diluted, Excl. EI) (pe_op_dil)"
pe_exi,double,"P/E (Diluted, Excl. EI) (pe_exi)"
pe_inc,double,"P/E (Diluted, Incl. EI) (pe_inc)"
ps,double,Price/Sales (ps)
pcf,double,Price/Cash flow (pcf)
dpr,double,Dividend Payout Ratio (dpr)
ptb,double,Price/Book (ptb)
PEG_trailing,double,Trailing P/E to Growth (PEG) ratio (PEG_trailing)
divyield,double,Dividend Yield (divyield)
efftax,double,Effective Tax Rate (efftax)
GProf,double,Gross Profit/Total Assets (GProf)
aftret_eq,double,After-tax Return on Average Common Equity (aftret_eq)
aftret_equity,double,After-tax Return on Total Stockholders Equity (aftret_equity)
aftret_invcapx,double,After-tax Return on Invested Capital (aftret_invcapx)
gpm,double,Gross Profit Margin (gpm)
npm,double,Net Profit Margin (npm)
opmad,double,Operating Profit Margin After Depreciation (opmad)
opmbd,double,Operating Profit Margin Before Depreciation (opmbd)
pretret_earnat,double,Pre-tax Return on Total Earning Assets (pretret_earnat)
pretret_noa,double,Pre-tax return on Net Operating Assets (pretret_noa)
ptpm,double,Pre-tax Profit Margin (ptpm)
roa,double,Return on Assets (roa)
roce,double,Return on Capital Employed (roce)
roe,double,Return on Equity (roe)
capital_ratio,double,Capitalization Ratio (capital_ratio)
equity_invcap,double,Common Equity/Invested Capital (equity_invcap)
debt_invcap,double,Long-term Debt/Invested Capital (debt_invcap)
totdebt_invcap,double,Total Debt/Invested Capital (totdebt_invcap)
invt_act,double,Inventory/Current Assets (invt_act)
rect_act,double,Receivables/Current Assets (rect_act)
fcf_ocf,double,Free Cash Flow/Operating Cash Flow (fcf_ocf)
ocf_lct,double,Operating CF/Current Liabilities (ocf_lct)
cash_debt,double,Cash Flow/Total Debt (cash_debt)
cash_lt,double,Cash Balance/Total Liabilities (cash_lt)
cfm,double,Cash Flow Margin (cfm)
short_debt,double,Short-Term Debt/Total Debt (short_debt)
profit_lct,double,Profit Before Depreciation/Current Liabilities (profit_lct)
curr_debt,double,Current Liabilities/Total Liabilities (curr_debt)
debt_ebitda,double,Total Debt/EBITDA (debt_ebitda)
dltt_be,double,Long-term Debt/Book Equity (dltt_be)
int_debt,double,Interest/Average Long-term Debt (int_debt)
int_totdebt,double,Interest/Average Total Debt (int_totdebt)
lt_debt,double,Long-term Debt/Total Liabilities (lt_debt)
lt_ppent,double,Total Liabilities/Total Tangible Assets (lt_ppent)
de_ratio,double,Total Debt/Equity (de_ratio)
debt_assets,double,Total Debt/Total Assets (debt_assets)
debt_at,double,Total Debt/Total Assets (debt_at)
debt_capital,double,Total Debt/Capital (debt_capital)
intcov,double,After-tax Interest Coverage (intcov)
intcov_ratio,double,Interest Coverage Ratio (intcov_ratio)
cash_conversion,double,Cash Conversion Cycle (Days) (cash_conversion)
cash_ratio,double,Cash Ratio (cash_ratio)
curr_ratio,double,Current Ratio (curr_ratio)
quick_ratio,double,Quick Ratio (Acid Test) (quick_ratio)
at_turn,double,Asset Turnover (at_turn)
inv_turn,double,Inventory Turnover (inv_turn)
pay_turn,double,Payables Turnover (pay_turn)
rect_turn,double,Receivables Turnover (rect_turn)
sale_equity,double,Sales/Stockholders Equity (sale_equity)
sale_invcap,double,Sales/Invested Capital (sale_invcap)
sale_nwc,double,Sales/Working Capital (sale_nwc)
Accrual,double,Accruals/Average Assets (Accrual)
RD_SALE,double,Research and Development/Sales (RD_SALE)
adv_sale,double,Avertising Expenses/Sales (adv_sale)
staff_sale,double,Labor Expenses/Sales (staff_sale)